"","Gstrength_out_final"
"AFG",0
"ALB",10132250000
"ANT",0
"ARB",190603333.333333
"ARE",890038925000
"ARG",32675669827081.9
"ARM",2471511666.66667
"ATG",16071506666.6667
"AUS",62652398110540
"AUT",3957081768912.81
"AZE",0
"BDI",39635826666.6667
"BEL",6619779079660.99
"BEN",3197680000
"BFA",578375000
"BGD",48861513333.3333
"BGR",13522394520463.7
"BHR",17850602715.0681
"BHS",59358333.3333333
"BIH",503652523343.8
"BLR",558212260793.295
"BLZ",13513333.3333333
"BMU",5187270000
"BOL",58597342670.3674
"BRA",3810609119662.89
"BRB",22985543333.3333
"BRN",378216666.666667
"BTN",0
"BWA",1535733333.33333
"CAF",0
"CAN",76588649620108.9
"CHE",1871831045022.01
"CHL",54784497822.1258
"CHN",46832026856954.3
"CIV",312080390000
"CMR",17730401666.6667
"COD",2930860000
"COG",0
"COK",0
"COL",191481061881.905
"COM",0
"CPV",451010000
"CRI",304303601373.393
"CUB",29136666.6666667
"CYP",122657550000
"CZE",10746167612241
"DEU",39208542818295.2
"DJI",25460000
"DMA",188540000
"DNK",3978467509415.57
"DOM",35448308107.2897
"DZA",1289600236575.74
"ECU",32273819386.2126
"EGY",702285703333.333
"ERI",3640000
"ESP",3831507516666.67
"EST",1741701189703.3
"ETH",0
"FIN",993197485995.417
"FJI",104922759914.635
"FRA",64458163849815
"FRO",2490000
"GAB",2260886666.66667
"GBR",8802525716519.14
"GEO",22861716666.6667
"GHA",228065151666.667
"GIN",28873676034.982
"GMB",389395000
"GNB",0
"GNQ",0
"GRC",1493402643333.33
"GRD",9140056666.66667
"GRL",0
"GTM",377999023651.795
"GUY",11643144374.2131
"HKG",195811971666.667
"HND",197381903228.928
"HRV",1298210937320.68
"HTI",1710336666.66667
"HUN",9985866366953.63
"IDN",769418751666.667
"IND",8069954317928.15
"IRL",568749177187.432
"IRN",0
"IRQ",47935679510.8564
"ISL",365316666.666667
"ISR",68021996666.6667
"ITA",10150804885000
"JAM",30023598333.3333
"JOR",97131978333.3333
"JPN",1077597211575.63
"KAZ",5838972777690.99
"KEN",0
"KGZ",11779808333.3333
"KHM",3145923333.33333
"KIR",2446666.66666667
"KNA",830000
"KOR",434207963333.333
"KWT",349390415000
"LAO",78850000
"LBN",139230231666.667
"LBR",30350000
"LBY",34889680000
"LCA",315910000
"LKA",264672721666.667
"LSO",111725916666.667
"LTU",9840703561555.92
"LUX",476353825366.208
"LVA",6489012570000
"MAC",2981381666.66667
"MAR",792846853612.425
"MDA",2169234882262.7
"MDG",226543333.333333
"MDV",1670760000
"MEX",5771665073333.33
"MKD",119304955000
"MLI",4625083333.33333
"MLT",45698710000
"MMR",8546145194.76618
"MNE",13351536666.6667
"MNG",3862855000
"MOZ",133395316666.667
"MRT",1151296666.66667
"MUS",117400130895.986
"MWI",708250000
"MYS",1004164531666.67
"NAM",15563721666.6667
"NCL",85830000
"NER",18416550000
"NGA",22330710000
"NIC",55849841666.6667
"NLD",4591368563333.33
"NOR",146940379794.746
"NPL",20398121666.6667
"NZL",144817315199.035
"OMN",1063228440000
"PAK",0
"PAN",52640016666.6667
"PER",336289260037.23
"PHL",271598895000
"PNG",1657035763.26155
"POL",14707076797513.4
"PRK",43343333.3333333
"PRT",589402930000
"PRY",2492731283533.36
"PSE",239596666.666667
"PYF",1230000
"QAT",36592366666.6667
"ROU",18064377984958.6
"RUS",61080790660174.6
"RWA",203873333.333333
"SAU",576147538010.964
"SDN",26926666.6666667
"SEN",70740491666.6667
"SGP",419520936025.757
"SLB",0
"SLE",23336666.6666667
"SLV",373376338078.695
"SOM",115083333.333333
"SRB",2751066574673.26
"SSD",0
"STP",1230000
"SUR",3263236666.66667
"SVK",4394917281081.45
"SVN",432704179236.261
"SWE",3835472184326.01
"SWZ",334923333.333333
"SYC",3423556666.66667
"SYR",168820015466.033
"TCD",0
"TGO",16380041074.7077
"THA",651678910000
"TJK",27950000.0000005
"TKM",120185438892.555
"TLS",0
"TON",0
"TTO",50437456034.1809
"TUN",334035778333.333
"TUR",14906154261666.7
"TUV",4893333.33333333
"TWN",327941542943.865
"TZA",132471415000
"UGA",148470181666.667
"UKR",31163107566528.4
"URY",1248852599498.79
"USA",89734691744725.8
"UZB",0
"VCT",46423220000
"VEN",227193333.333333
"VNM",823256449131.219
"VUT",8590000
"YEM",0
"ZAF",957938121666.667
"ZMB",39368975000
"ZWE",9162273651.78095
