"","Gdeg_in_final"
"AFG",21
"ALB",30
"ANT",0
"ARB",28
"ARE",93
"ARG",29
"ARM",40
"ATG",26
"AUS",89
"AUT",62
"AZE",39
"BDI",24
"BEL",82
"BEN",53
"BFA",43
"BGD",36
"BGR",52
"BHR",66
"BHS",27
"BIH",31
"BLR",40
"BLZ",19
"BMU",12
"BOL",24
"BRA",58
"BRB",39
"BRN",37
"BTN",8
"BWA",26
"CAF",25
"CAN",103
"CHE",76
"CHL",53
"CHN",86
"CIV",51
"CMR",59
"COD",38
"COG",42
"COK",9
"COL",47
"COM",29
"CPV",28
"CRI",48
"CUB",25
"CYP",55
"CZE",54
"DEU",85
"DJI",28
"DMA",19
"DNK",64
"DOM",36
"DZA",57
"ECU",27
"EGY",56
"ERI",12
"ESP",86
"EST",40
"ETH",43
"FIN",39
"FJI",33
"FRA",96
"FRO",8
"GAB",33
"GBR",101
"GEO",42
"GHA",63
"GIN",48
"GMB",46
"GNB",16
"GNQ",26
"GRC",57
"GRD",14
"GRL",27
"GTM",37
"GUY",37
"HKG",78
"HND",39
"HRV",36
"HTI",30
"HUN",43
"IDN",47
"IND",59
"IRL",60
"IRN",47
"IRQ",55
"ISL",43
"ISR",65
"ITA",82
"JAM",32
"JOR",66
"JPN",60
"KAZ",41
"KEN",52
"KGZ",27
"KHM",41
"KIR",21
"KNA",16
"KOR",67
"KWT",74
"LAO",9
"LBN",64
"LBR",35
"LBY",48
"LCA",27
"LKA",36
"LSO",3
"LTU",39
"LUX",25
"LVA",44
"MAC",34
"MAR",52
"MDA",37
"MDG",44
"MDV",46
"MEX",57
"MKD",32
"MLI",50
"MLT",52
"MMR",31
"MNE",31
"MNG",42
"MOZ",40
"MRT",42
"MUS",57
"MWI",38
"MYS",74
"NAM",30
"NCL",37
"NER",46
"NGA",55
"NIC",30
"NLD",93
"NOR",68
"NPL",30
"NZL",66
"OMN",61
"PAK",43
"PAN",52
"PER",43
"PHL",54
"PNG",26
"POL",53
"PRK",14
"PRT",65
"PRY",32
"PSE",35
"PYF",37
"QAT",74
"ROU",54
"RUS",70
"RWA",25
"SAU",71
"SDN",39
"SEN",51
"SGP",81
"SLB",18
"SLE",34
"SLV",32
"SOM",33
"SRB",46
"SSD",6
"STP",16
"SUR",43
"SVK",42
"SVN",40
"SWE",76
"SWZ",21
"SYC",46
"SYR",24
"TCD",17
"TGO",44
"THA",63
"TJK",15
"TKM",19
"TLS",8
"TON",8
"TTO",43
"TUN",49
"TUR",78
"TUV",7
"TWN",63
"TZA",46
"UGA",47
"UKR",54
"URY",43
"USA",120
"UZB",24
"VCT",18
"VEN",40
"VNM",55
"VUT",23
"YEM",44
"ZAF",70
"ZMB",42
"ZWE",34
